year,month,date,Season,dataSeason,company,track,volume_origin,volume_desc,volume,origin_round,round
2015,Jun,Jun-15,Q2,2015 Q2,智园控股-创课Tronclass,Higher Edu.,2218,2218,2218,A,A
2015,Aug,Aug-15,Q3,2015 Q3,智园控股-创课Tronclass,Higher Edu.,2218,2218,2218,B,B
2018,Jul,Jul-18,Q3,2018 Q3,智云时代信息,SaaS & Informatization,300万,300,300,Seed/Angel,Seed/Angel
2018,Apr,Apr-18,Q2,2018 Q2,中公教育,Vocational Edu.,300,300,300,Seed/Angel,Seed/Angel
2016,May,May-16,Q2,2016 Q2,中国教育在线,Paid Knowledge,3840,3840,3840,A,A
2015,Jun,Jun-15,Q2,2015 Q2,卓识成就,Enrichment Programs,3185,3185,3185,Seed/Angel,Seed/Angel
2014,Apr,Apr-14,Q2,2014 Q2,啄木鸟教育,Study Abroad Services,2500,2500,2500,A,A
2015,Sep,Sep-15,Q3,2015 Q3,啄木鸟教育,Study Abroad Services,12740,12740,12740,Strategic Investment,Strategic Investment
2014,Oct,Oct-14,Q4,2014 Q4,自化创意,Vocational Edu.,1300,1300,1300,Seed/Angel,Seed/Angel
2017,Jul,Jul-17,Q3,2017 Q3,棕榈大道,Study Abroad Services,1360,1360,1360,A,A
2016,May,May-16,Q2,2016 Q2,最库教育,K12,1000,1000,1000,Pre-A,Pre-A
2018,May,May-18,Q2,2018 Q2,作文纸条,K12,1300,1300,1300,Seed/Angel,Seed/Angel
